RMSE,MAE,Pearson_R,fold,test_case,n_train,n_test,feature_combo,model
11.65875489155254,7.936514821134179,0.5538996343205104,1,1,32683,752,SampEn,RF
14.254355521624756,10.142510417539798,0.48880440847989526,2,2,32458,977,SampEn,RF
12.414490260244724,8.076458369751746,0.44663459152342194,3,3,30821,2614,SampEn,RF
16.693847591259427,11.450753707741075,0.500601334472574,4,4,32656,779,SampEn,RF
14.773313040627439,10.068671635583916,0.512371867861372,5,5,32952,483,SampEn,RF
14.30834589585189,8.878549101831544,0.4639336762889209,6,6,32430,1005,SampEn,RF
12.989332001925911,9.189203231955588,0.17679624636507651,7,7,32225,1210,SampEn,RF
11.548487631887392,6.780665336258999,0.5517833059418757,8,8,31846,1589,SampEn,RF
23.44964902901956,14.87581038728681,-0.011241571969008782,9,9,32240,1195,SampEn,RF
11.370958059681836,8.175393786279033,0.7475303497890133,10,10,32196,1239,SampEn,RF
14.42367960111007,10.531183230635799,0.319435194175063,11,11,30753,2682,SampEn,RF
12.742880575130966,10.47104875343033,0.3916798390968544,12,12,29368,4067,SampEn,RF
19.02267483172169,13.027165755934679,0.4408619187368404,13,13,32617,818,SampEn,RF
18.4995549137072,12.412213719775073,0.31215937107354913,14,14,32812,623,SampEn,RF
12.340361846105495,7.420380887292797,0.3946584768587318,15,15,30799,2636,SampEn,RF
15.71126580418411,10.863441393859432,0.20281388745034634,16,16,32001,1434,SampEn,RF
10.959593437464651,6.371845992144355,0.6319296269387792,17,17,31916,1519,SampEn,RF
14.208605722798215,7.894524456857096,0.4275655198272054,18,18,32694,741,SampEn,RF
16.296091738407945,12.376842064583117,0.464932883817317,19,19,32564,871,SampEn,RF
12.713355139286312,8.865671192443735,0.30868941129068084,20,20,31486,1949,SampEn,RF
14.568499216371528,10.004159870610914,0.5124588779932834,21,21,31564,1871,SampEn,RF
21.23997226367243,14.107369711312344,0.1597278443614535,22,22,32973,462,SampEn,RF
15.695821123281355,10.064765981924289,0.5285135013513412,23,23,32271,1164,SampEn,RF
19.57945862577718,11.930501168330828,0.43536822096064104,24,24,32680,755,SampEn,RF
11.048437053102596,7.485317088188009,0.615378399031155,1,1,32683,752,SampEn,XGB
13.532304590866234,9.239728874901544,0.5239043479105017,2,2,32458,977,SampEn,XGB
11.832600126800704,7.629478241361042,0.4785835867649998,3,3,30821,2614,SampEn,XGB
16.338674988192373,11.197263876801125,0.5329855237615259,4,4,32656,779,SampEn,XGB
13.685542111017726,9.113905906959314,0.5819538630730918,5,5,32952,483,SampEn,XGB
13.941651322845647,8.387643694521776,0.4837341332610847,6,6,32430,1005,SampEn,XGB
12.47305691106878,8.498521722840868,0.18742879369578166,7,7,32225,1210,SampEn,XGB
11.195606019710416,6.716291467223699,0.590519728751701,8,8,31846,1589,SampEn,XGB
23.100251725466503,14.563564713941991,-0.0029655060063002447,9,9,32240,1195,SampEn,XGB
11.035546213776094,8.002458130572474,0.7850935483257038,10,10,32196,1239,SampEn,XGB
13.94469853334684,10.458225581691973,0.36599132242229304,11,11,30753,2682,SampEn,XGB
12.396436242465814,10.40809365304053,0.4269859241832896,12,12,29368,4067,SampEn,XGB
18.477318808176744,12.449264442425195,0.4804289785294631,13,13,32617,818,SampEn,XGB
18.126650498056428,12.202060602737198,0.3430670965926048,14,14,32812,623,SampEn,XGB
12.096528690388292,7.394619534229501,0.43128903618303677,15,15,30799,2636,SampEn,XGB
15.324647901018059,10.393425509188132,0.22067833992993952,16,16,32001,1434,SampEn,XGB
10.534254873644853,5.909904462401219,0.6688327559903423,17,17,31916,1519,SampEn,XGB
13.891622687041487,7.4165585990215925,0.44777428843772826,18,18,32694,741,SampEn,XGB
16.185495052472223,12.367854393171799,0.48376330602345086,19,19,32564,871,SampEn,XGB
12.459090574801447,8.55384751697147,0.3121447757822727,20,20,31486,1949,SampEn,XGB
14.231459918953115,10.0342707192486,0.5352193624243387,21,21,31564,1871,SampEn,XGB
20.82761478839794,13.793064142202402,0.17797553130163266,22,22,32973,462,SampEn,XGB
15.34864672891376,9.937087618772107,0.5569754835061713,23,23,32271,1164,SampEn,XGB
19.090454342411594,11.47766720601265,0.4822339774998854,24,24,32680,755,SampEn,XGB
11.792189150294508,8.657002661420034,0.6158353274998328,1,1,32683,752,PE,RF
14.445638836924427,11.332508671424709,0.5963481407138573,2,2,32458,977,PE,RF
12.980115385526954,8.547776306336708,0.48638456068128677,3,3,30821,2614,PE,RF
16.435924831401522,12.037532661341402,0.4712002405205698,4,4,32656,779,PE,RF
14.72511399132773,10.975763666766916,0.554734675027079,5,5,32952,483,PE,RF
11.579329300802529,7.874590936463695,0.6091378544887276,6,6,32430,1005,PE,RF
14.17521019309097,12.214878105278292,0.5807227653113011,7,7,32225,1210,PE,RF
9.606743319047723,5.432839938679842,0.7098374043740798,8,8,31846,1589,PE,RF
16.515580342966643,12.5071964896102,0.734506888537686,9,9,32240,1195,PE,RF
9.652395692907113,6.817484571572914,0.8361819062688972,10,10,32196,1239,PE,RF
12.996339401095419,9.04124126865367,0.49396020631219023,11,11,30753,2682,PE,RF
13.542499990362654,9.528366366946294,0.3763944841404332,12,12,29368,4067,PE,RF
15.272540220984583,11.141252470552917,0.6713269929385361,13,13,32617,818,PE,RF
14.297161488146061,11.20021191639908,0.6971066410899736,14,14,32812,623,PE,RF
10.914498554437676,7.371936079397967,0.591031166621863,15,15,30799,2636,PE,RF
12.449273320176713,9.261059115989985,0.5308266900685976,16,16,32001,1434,PE,RF
10.08758762244136,7.214964608710276,0.7579107461465642,17,17,31916,1519,PE,RF
9.551087535743507,6.358400978486306,0.798293399669754,18,18,32694,741,PE,RF
13.532150715340002,10.801055450836872,0.7079103288651387,19,19,32564,871,PE,RF
12.56666031993049,9.23687160365502,0.39584104727305724,20,20,31486,1949,PE,RF
15.672245794803548,11.070954635658975,0.541830026122898,21,21,31564,1871,PE,RF
16.375494401560395,11.414332198989872,0.5577403289385524,22,22,32973,462,PE,RF
14.463444860695226,10.641967534004118,0.6581980664523481,23,23,32271,1164,PE,RF
15.750024448254553,11.35317154304561,0.6492484603514588,24,24,32680,755,PE,RF
11.489006314891943,8.524022903848202,0.6414462195683671,1,1,32683,752,PE,XGB
13.740832631267635,10.504796704591968,0.6294188936786795,2,2,32458,977,PE,XGB
12.593086944625295,8.289256373339178,0.5072693825267437,3,3,30821,2614,PE,XGB
15.993101003638335,11.752232675221826,0.5145690797746585,4,4,32656,779,PE,XGB
13.825981658962725,10.326654155031294,0.6121518312057295,5,5,32952,483,PE,XGB
10.898763702819425,7.385723277229575,0.664493529528758,6,6,32430,1005,PE,XGB
13.830889735568443,11.909410873917508,0.606452053194162,7,7,32225,1210,PE,XGB
9.247611685594787,5.25619194866202,0.7372848776045402,8,8,31846,1589,PE,XGB
15.862726512326066,12.067454379527677,0.7854526317081032,9,9,32240,1195,PE,XGB
9.502560070729437,6.759225559003705,0.8537381326050366,10,10,32196,1239,PE,XGB
12.83045043447753,8.997310175052363,0.5071924348825821,11,11,30753,2682,PE,XGB
13.418438701201106,9.581341972182432,0.3825535889716076,12,12,29368,4067,PE,XGB
14.23862290139533,10.606998110167263,0.7317469906599534,13,13,32617,818,PE,XGB
13.946616171780107,11.102908661052732,0.7308764639013727,14,14,32812,623,PE,XGB
10.718856779768421,7.306242819213757,0.6087344573853772,15,15,30799,2636,PE,XGB
11.803257395285785,8.736186735134577,0.5805647049062053,16,16,32001,1434,PE,XGB
9.747194369717668,6.995667085277163,0.7850515128693693,17,17,31916,1519,PE,XGB
9.071218686401071,6.05177289625572,0.8277564036323322,18,18,32694,741,PE,XGB
13.062878660940154,10.574809708359869,0.7618577436948206,19,19,32564,871,PE,XGB
12.268809046566304,9.04244070899615,0.4165318331498149,20,20,31486,1949,PE,XGB
15.286641889652177,10.991215383614534,0.5586027941718394,21,21,31564,1871,PE,XGB
15.96636882895477,11.12893381985751,0.5912512868651809,22,22,32973,462,PE,XGB
13.972573287510302,10.446783940161218,0.6992441324571642,23,23,32271,1164,PE,XGB
15.345279448939317,11.139612367137378,0.6846741121056961,24,24,32680,755,PE,XGB
10.661531104139298,7.445110581986696,0.6582104221607203,1,1,32683,752,All,RF
12.938964914728304,9.389901884973083,0.6161760870533449,2,2,32458,977,All,RF
12.037580528047299,8.01556895152096,0.6188725161308217,3,3,30821,2614,All,RF
15.030929779593114,10.377984215203247,0.5982693024146127,4,4,32656,779,All,RF
10.991527930698364,7.5198357907171065,0.7598088613556216,5,5,32952,483,All,RF
10.726082884160649,7.363448711492793,0.7105492676694469,6,6,32430,1005,All,RF
11.001900779050953,8.459983826024533,0.5622397042938623,7,7,32225,1210,All,RF
8.440970155068571,4.756433624789672,0.783299026605235,8,8,31846,1589,All,RF
12.264022264003229,8.295348839760209,0.8027875204882216,9,9,32240,1195,All,RF
9.181104896805664,6.255300029260276,0.8485161236791399,10,10,32196,1239,All,RF
9.572625341843658,6.731427764891288,0.7273484753429192,11,11,30753,2682,All,RF
9.75488974515339,6.905168485951562,0.6018365687079269,12,12,29368,4067,All,RF
13.717968376017502,9.821510561094609,0.7235178923219161,13,13,32617,818,All,RF
13.838533936324307,10.518312455919938,0.7166810753519544,14,14,32812,623,All,RF
9.03458403245298,5.6386659866862265,0.7274963500752607,15,15,30799,2636,All,RF
11.584096780402122,8.68173984553525,0.6062288887222629,16,16,32001,1434,All,RF
9.364512394654918,6.5409577084335,0.7819958765182202,17,17,31916,1519,All,RF
8.032907009160324,5.5406910601365835,0.8509114033122683,18,18,32694,741,All,RF
12.365961806697053,10.231380026165045,0.7954333683072818,19,19,32564,871,All,RF
11.25945475412113,7.9803687120555065,0.5070205576197997,20,20,31486,1949,All,RF
12.343377499340148,8.25916269778476,0.7060254398957495,21,21,31564,1871,All,RF
15.159748041807806,10.51582943023084,0.6401813540879526,22,22,32973,462,All,RF
11.605014814191229,7.931412825108694,0.7951349947950475,23,23,32271,1164,All,RF
15.72691122788065,10.469624142235705,0.6561751933019736,24,24,32680,755,All,RF
10.315902151589253,7.254606087157067,0.6843278731740062,1,1,32683,752,All,XGB
12.843830294218357,9.477605768943638,0.6206057613911051,2,2,32458,977,All,XGB
12.439030315839336,8.377611902456309,0.5895745203409449,3,3,30821,2614,All,XGB
15.096469877746909,10.585837052018407,0.5916736650506372,4,4,32656,779,All,XGB
11.42766786023352,7.748288616386143,0.7364594533786621,5,5,32952,483,All,XGB
10.699259723904301,7.361706279166302,0.7041724057385903,6,6,32430,1005,All,XGB
11.139803240369664,8.441313981615808,0.55272290047177,7,7,32225,1210,All,XGB
8.441118716554199,4.73843145160423,0.7822638856497058,8,8,31846,1589,All,XGB
13.277546805578979,9.002601243840063,0.7741667223941531,9,9,32240,1195,All,XGB
8.95910922897496,6.215367391861861,0.8608369281747056,10,10,32196,1239,All,XGB
10.529564447829884,7.40809393685222,0.6716672971311278,11,11,30753,2682,All,XGB
9.851386470435228,6.961703452990103,0.5813310400899508,12,12,29368,4067,All,XGB
13.66534644591309,9.767593565663383,0.7240326869171689,13,13,32617,818,All,XGB
13.362008974746198,10.132469524445845,0.7401305231239588,14,14,32812,623,All,XGB
9.06047734869197,5.67401428079071,0.7261058578215859,15,15,30799,2636,All,XGB
11.603577147731349,8.692881842204883,0.5995066709773702,16,16,32001,1434,All,XGB
9.213337849203898,6.370855011227415,0.7897082633636658,17,17,31916,1519,All,XGB
8.583088572284487,5.666314157236282,0.8284383011669025,18,18,32694,741,All,XGB
12.318016055206266,10.245089385320618,0.8072190560167356,19,19,32564,871,All,XGB
11.449015319779516,8.108250201574162,0.4840818489559989,20,20,31486,1949,All,XGB
12.611785539306577,8.463705183480846,0.6895183037684813,21,21,31564,1871,All,XGB
15.278991732017781,10.718700545174736,0.6304765645002619,22,22,32973,462,All,XGB
12.032183169716204,8.186250892455636,0.774701311703041,23,23,32271,1164,All,XGB
14.863338392626654,9.99880640901477,0.6910943720924638,24,24,32680,755,All,XGB
